[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/media/017d9bea37084d9b-s.p.41rroleoq1br7.woff2 → 200 (?ms, ?B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/media/70bc3e132a0a741e-s.p.3t6q91iet4nsy.woff2 → 200 (?ms, ?B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/media/c47649aa31f9e140-s.p.3lxpqujs87tck.woff2 → 200 (?ms, ?B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1alx9cd._.css → 200 (3ms, 112807B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1c05dl4._.js → 200 (4ms, 675B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-dom_0tqwgx_._.js → 200 (24ms, 1058623B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_next-devtools_index_0n5c3vp.js → 200 (29ms, 746614B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-server-dom-turbopack_0hkxcnq._.js → 200 (12ms, 174965B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_0jmj0i9._.js → 200 (13ms, 168197B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_shared_lib_0mgk4wr._.js → 200 (16ms, 299873B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_client_00zdfuj._.js → 200 (25ms, 817602B)
[2026-07-24T16:01:56.828Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_0p-gtpw._.js → 200 (24ms, 195924B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_next_router_0jdwzlz.js → 200 (15ms, 484B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_posthog-js_dist_module_0_i34dt.js → 200 (26ms, 363388B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_core_build_esm_1pnuaj5._.js → 200 (23ms, 687554B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_conventions_dist_attributes_mjs_0j0ufne._.js → 200 (27ms, 520102B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser_build_npm_esm_dev_1779_6a._.js → 200 (23ms, 246636B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser-utils_build_esm_1rsyhbn._.js → 200 (26ms, 239376B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_1j1vlvg._.js → 200 (22ms, 105812B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_instrumentation-client_ts_0h8wagc._.js → 200 (25ms, 5841B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_1anvha4._.js → 200 (26ms, 1184B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/turbopack-Dev_Tradelynq_Tradelynq-V2_1-ozf8z._.js → 200 (28ms, 92859B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_07668l8._.js → 200 (40ms, 209213B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_components_layout_ThemeProvider_tsx_0k7zmce._.js → 200 (27ms, 9473B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_layout_tsx_1md4691._.js → 200 (27ms, 399B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_nextjs_build_esm_index_client_1jpykmv.js → 200 (40ms, 1031B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_1ddkzor._.js → 200 (40ms, 187308B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_0tfp47s._.js → 200 (40ms, 19199B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_error_tsx_0mqtr_1._.js → 200 (40ms, 371B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_1kfmc1y._.js → 200 (91ms, 24878B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_(auth)_layout_tsx_0mqtr_1._.js → 200 (52ms, 255B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_react-hook-form_dist_index_esm_mjs_0vo9c83._.js → 200 (91ms, 149724B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_zod_v4_01bxmm6._.js → 200 (101ms, 1044199B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_%40supabase_auth-js_dist_module_1oe6mcl._.js → 200 (96ms, 516155B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_tailwind-merge_dist_bundle-mjs_mjs_0m7aamq._.js → 200 (91ms, 153287B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_1vqbd5m._.js → 200 (96ms, 677986B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_08j-uat._.js → 200 (91ms, 79118B)
[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_app_(auth)_login_page_tsx_1tsv8_x._.js → 200 (92ms, 544B)
